Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-12T15:00:00Z London,400,150.16666539510092,58.16416613260905,55.78166707356771,460
2026-01-12T16:00:00Z London,400,150.1500015258789,58.59583346048991,56.01666673024496,440
2026-01-12T17:00:00Z London,400,150.84166717529297,58.89416694641113,56.346665700276695,470
2026-01-12T18:00:00Z London,400,151.18333435058594,58.97499974568685,56.69750054677328,450
2026-01-12T19:00:00Z London,400,148.57500076293945,59.14999961853027,56.97166665395101,510
2026-01-12T20:00:00Z London,400,151.30833435058594,59.61499945322672,56.857499758402504,480
2026-01-12T21:00:00Z London,400,150.31666692097983,58.68916670481364,56.91583283742269,450
2026-01-12T22:00:00Z London,300,149.66666539510092,59.12666543324789,57.07500012715658,530
2026-01-12T23:00:00Z London,400,148.91666539510092,58.75750001271566,56.52416706085205,480
2026-01-13T00:00:00Z London,300,148.49166361490884,58.21333312988281,56.444166819254555,470
2026-01-13T01:00:00Z London,400,149.85833104451498,58.4391663869222,56.19999885559082,420
2026-01-13T02:00:00Z London,300,149.07500076293945,57.927499771118164,55.8633337020874,400
2026-01-13T03:00:00Z London,400,149.86666615804037,57.64999961853027,55.76416619618734,470
2026-01-13T04:00:00Z London,300,148.2833340962728,57.47333304087321,55.33583354949951,410
2026-01-13T05:00:00Z London,400,150.30833307902017,57.389166831970215,55.3041664759318,420
2026-01-13T06:00:00Z London,300,150.18333435058594,57.32916704813639,55.069167137145996,440
2026-01-13T07:00:00Z London,500,152.36666615804037,56.97583325703939,54.4358336130778,500
2026-01-13T08:00:00Z London,500,151.15833282470703,55.99166711171468,53.372499783833824,510
2026-01-13T09:00:00Z London,400,150.8999989827474,56.03749910990397,53.55083338419596,470
2026-01-13T10:00:00Z London,400,151.87500127156576,55.287500063578285,52.89416631062826,490
2026-01-13T11:00:00Z London,400,149.8000005086263,55.6141668955485,53.080833435058594,490
2026-01-13T12:00:00Z London,400,151.21666717529297,55.456667264302574,53.22999954223633,450
2026-01-13T13:00:00Z London,400,150.14166514078775,55.955000241597496,53.569166819254555,470
